image,brand,plate,country,age,damage
N111_jpeg.rf.3fccc88685a55538f1ed802e1e52b95f.jpg,skoda,Unknown,Inconnu,Indéterminé,['dent']
N11_jpeg.rf.df44954aabd6891aea27d878cfb0460b.jpg,Mercedes,Unknown,Inconnu,Indéterminé,['No damage']
N129_jpeg.rf.95826909354651ffd24a24b20783116d.jpg,Unknown,DL7CN5617,International,Indéterminé,['shattered_glass']
N191_jpeg.rf.244ea46336f1476485fd1f8afdde2363.jpg,Unknown,9239,États-Unis,Classique,['No damage']
N206_jpeg.rf.a6b46aaab3cd2617158d9f57e23d98fb.jpg,SUZUKI,HR26CR3302,International,Indéterminé,['No damage']
N212_jpeg.rf.4a76ea32961bb1f37bbb49f9dd40ff4d.jpg,SUZUKI,221412223,International,Indéterminé,['No damage']
N231_jpeg.rf.3ec0fa36349bb9975b017e4b74f6fb0e.jpg,Unknown,MHISTC554,International,Indéterminé,['No damage']
N233_jpeg.rf.e71e6f2da0adb4a3e6b046ae7419632f.jpg,Unknown,TN99F2378,International,Indéterminé,['No damage']
N242_jpeg.rf.c895303345ac528a10883511d31e4ad3.jpg,skoda,MH20DV2362,International,Indéterminé,['No damage']
N244_jpeg.rf.f669cc8d0aa0d12c90b7efae96e4ac94.jpg,Unknown,KLOSAK33OQ,International,Indéterminé,['No damage']
N27_jpeg.rf.0ac3260be48b91fffdca4d536e3b7b61.jpg,Unknown,I7TXT4,États-Unis,Moderne (depuis 1990),['No damage']
N30_jpeg.rf.2020aefc67a4ddbf7e7c356289c61e54.jpg,skoda,RK36IS,Pays-Bas,Contemporain,"['shattered_glass', 'dent']"
N38_jpeg.rf.8083183254d4f4748caf1a5be01845ba.jpg,Unknown,V494RT,États-Unis,Moderne (depuis 1990),['No damage']
N40_jpeg.rf.6329a924c488059e0590d276c4f53733.jpg,bmw,DLGCAB123X,International,Indéterminé,['No damage']
N43_jpeg.rf.b780c1677e9aee41269a106bb9c7816f.jpg,honda,33BO,États-Unis,Ancien,['No damage']
N48_jpeg.rf.c8e023edcd5a3dc0e627f2c3a6e01e80.jpg,SUZUKI,HRZGDK6L75,International,Indéterminé,['scratch']
N52_jpeg.rf.4132d57cb701b0b46dda55948a7eabc4.jpg,Toyota,HR696969,Suisse,Contemporain,['No damage']
N54_jpeg.rf.6ac1b575ccacbf7c6f07011a0b0c5ab0.jpg,Unknown,N014A6274,International,Indéterminé,['No damage']
N59_jpeg.rf.961c4727c204ac53d7465322cbe3e4b1.jpg,Unknown,MH20EE7597,International,Indéterminé,['No damage']
N77_jpeg.rf.23e07f2fbf8db3cb7208cc9d0bf27d7c.jpg,Unknown,7SOI,États-Unis,Ancien,['No damage']
N81_jpeg.rf.a9d8db7af9e9bcf9ad2faf1ca6c45dc7.jpg,chevrolet,GJ17TC214,International,Indéterminé,['shattered_glass']
N82_jpeg.rf.9f3586e16136d8a416fa2cfb5d56790f.jpg,volkswagen,MH14ICF460,International,Indéterminé,['No damage']
